"cardnum_amount_month_diff_avg_1","cardnum_amount_month_diff_sum_1","cardnum_amount_avg_1","cardnum_amount_avg_3","cardnum_amount_month_diff_sum_3","merchantnum_amount_month_diff_max_1","cardnum_amount_week_diff_sum_3","cardnum_amount_week_diff_sum_1","merchantnum_amount_sum_1","cardnum_amount_sum_1","cardnum_amount_max_1","merchantnum_amount_avg_1","merchantnum_amount_week_diff_avg_1","cardnum_amount_week_diff_sum_7","cardnum_amount_avg_7","cardnum_amount_sum_3","merchantnum_amount_max_3","cardnum_amount_month_diff_avg_7","merchantnum_amount_month_diff_sum_1","cardnum_amount_month_diff_sum_15","cardnum_amount_week_diff_sum_15","merchantnum_amount_month_diff_avg_3","cardnum_amount_week_diff_max_3","cardnum_amount_max_3","cardnum_amount_month_diff_avg_15","Fraud"
-355.854782672112,-1423.41913068845,10.515,10.515,-1423.41913068845,-298.619782672112,-1531.53381324558,-1531.53381324558,135.65,42.06,31.2,45.2166666666667,-348.181786644728,-3106.78160733552,12.9425,42.06,67.75,-353.427282672112,-963.459348016336,-6587.4745668028,-7432.96729898436,-321.153116005445,-362.198453311394,31.2,-263.498982672112,0
-381.497417919932,-381.497417919932,57,104.423333333333,-934.957606524915,-381.497417919932,-853.915056689847,-318.429147751606,57,57,57,57,-318.429147751606,-2986.381543182,66.6555555555556,313.27,57,-326.849072879795,-381.497417919932,-4399.56836763117,-4708.21170735654,-381.497417919932,-221.395148586397,160,-219.978418381559,0
286.275504329004,286.275504329004,651.25,371.536666666667,39.3730259740259,286.275504329004,-92.9593686976788,248.049678959303,717.75,651.25,651.25,358.875,-44.325321040697,-395.286969760679,336.965,2229.22,2314.83,-44.3715725673828,-12.1989913419914,-996.551935562825,-976.638027285317,423.861504329004,248.049678959303,651.25,-90.5956305057114,0
-69.9744956709957,-69.9744956709957,295,295,-69.9744956709957,-69.9744956709957,-108.200321040697,-108.200321040697,295,295,295,295,-108.200321040697,-108.200321040697,295,295,295,-69.9744956709957,-69.9744956709957,-1176.34643631831,-1359.58555451587,-69.9744956709957,-108.200321040697,295,-130.705159590923,0
-266.773116005445,-800.319348016336,99.5966666666667,99.5966666666667,-800.319348016336,-166.369782672112,-881.405359934183,-881.405359934183,200,298.79,200,200,-193.398453311394,-881.405359934183,99.5966666666667,298.79,200,-266.773116005445,-166.369782672112,-800.319348016336,-881.405359934183,-166.369782672112,-193.398453311394,200,-266.773116005445,0
-234.427417919932,-1406.56450751959,204.07,234.942,-2035.55417919932,-78.4974179199322,-1643.37573948976,-1194.78192624418,1224.42,1224.42,360,204.07,-199.130321040697,-1179.77484333044,290.856363636364,2349.42,360,-147.641054283569,-1406.56450751959,97.6813132810854,651.379269002051,-234.427417919932,-43.200321040697,360,6.10508208006783,0
30.6856107974108,61.3712215948216,433.5,433.5,61.3712215948216,414.185610797411,60.599357918606,60.599357918606,1180,867,817,393.333333333333,-9.86698770736369,60.599357918606,433.5,867,817,30.6856107974108,-28.4431676077676,-144.886196325111,-88.5557906677909,-9.48105586925588,413.799678959303,817,-48.2953987750369,0
1.69272652029967,5.078179560899,378.426666666667,378.426666666667,5.078179560899,657.266059853633,-8.90544575919046,-8.90544575919046,1595,1135.28,1034,797.5,416.104851413603,-1090.29004509726,207.776666666667,1135.28,2435,-168.9572734797,841.532119707266,-3578.09516204914,-3904.58485538827,966.599393186966,652.604851413603,1034,-255.578225860653,0
-399.014389202589,-399.014389202589,3.8,4.48,-796.668778405178,-363.714389202589,-787.799864192527,-382.599103840683,814.98,3.8,3.8,5.03074074074074,-381.368363099942,-787.799864192527,4.48,8.96,39.1,-398.334389202589,-64440.9510508194,-1126.46316760777,-1096.17501277892,-397.440506849648,-382.599103840683,5.16,-375.487722535923,0
-395.663520793418,-395.663520793418,3.8,332.19,-134.547041586836,-349.963520793418,-132.379864192527,-382.599103840683,104.63,3.8,3.8,8.71916666666667,-377.679937174016,-1816.7521307495,135.285714285714,664.38,49.5,-264.177806507704,-4688.93224952102,-6404.75350166488,-6236.51634844634,-393.138455858353,250.219239648156,660.58,-256.190140066595,0
